"FIN","ST","Car #","Driver","Make","TOT PTS","F PTS","B PTS","Laps","Led","STUS"
"1","9","48","Jimmie Johnson","Chevrolet","47","43","4","200","17","Running"
"2","19","88","Dale Earnhardt Jr","Chevrolet","42","42","0","200","0","Running"
"3","14","55","Mark Martin","Toyota","41","41","0","200","0","Running"
"4","15","2","Brad Keselowski","Ford","41","40","1","200","13","Running"
"5","34","39","Ryan Newman","Chevrolet","40","39","1","200","3","Running"
"6","5","16","Greg Biffle","Ford","38","38","0","200","0","Running"
"7","40","51","Regan Smith","Chevrolet","37","37","0","200","0","Running"
"8","1","10","Danica Patrick","Chevrolet","37","36","1","200","5","Running"
"9","38","98","Michael McDowell","Ford","35","35","0","200","0","Running"
"10","41","36","JJ Yeley","Chevrolet","34","34","0","200","0","Running"
"11","10","15","Clint Bowyer","Toyota","34","33","1","200","1","Running"
"12","28","17","Ricky Stenhouse Jr","Ford","32","32","0","200","0","Running"
"13","26","43","Aric Almirola","Ford","31","31","0","200","0","Running"
"14","35","11","Denny Hamlin","Toyota","31","30","1","200","33","Running"
"15","23","47","Bobby Labonte","Toyota","29","29","0","200","0","Running"
"16","42","83","David Reutimann","Toyota","28","28","0","200","0","Running"
"17","30","7","Dave Blaney","Chevrolet","27","27","0","200","0","Running"
"18","24","9","Marcos Ambrose","Ford","26","26","0","200","0","Running"
"19","21","22","Joey Logano","Ford","26","25","1","200","2","Running"
"20","2","24","Jeff Gordon","Chevrolet","25","24","1","200","31","Running"
"21","16","27","Paul Menard","Chevrolet","24","23","1","200","1","Running"
"22","29","26","Michael Waltrip","Toyota","23","22","1","200","4","Running"
"23","31","95","Scott Speed","Ford","22","21","1","200","2","Running"
"24","37","56","Martin Truex Jr","Toyota","20","20","0","200","0","Running"
"25","43","93","Travis Kvapil","Toyota","20","19","1","199","1","Running"
"26","39","32","Terry Labonte","Ford","18","18","0","199","0","Running"
"27","33","21","Trevor Bayne","Ford","17","17","0","198","0","Running"
"28","11","78","Kurt Busch","Chevrolet","16","16","0","195","0","Running"
"29","17","13","Casey Mears","Ford","15","15","0","181","0","Running"
"30","18","31","Jeff Burton","Chevrolet","14","14","0","176","0","Accident"
"31","8","33","Austin Dillon","Chevrolet","13","13","0","175","0","Running"
"32","20","1","Jamie McMurray","Chevrolet","12","12","0","161","0","Running"
"33","36","99","Carl Edwards","Ford","11","11","0","159","0","Running"
"34","4","18","Kyle Busch","Toyota","10","10","0","151","0","Engine"
"35","22","34","David Ragan","Ford","9","9","0","150","0","Accident"
"36","6","5","Kasey Kahne","Chevrolet","8","8","0","150","0","Running"
"37","12","20","Matt Kenseth","Toyota","9","7","2","149","86","Engine"
"38","25","38","David Gilliland","Ford","6","6","0","144","0","Accident"
"39","7","42","Juan Pablo Montoya","Chevrolet","5","5","0","144","0","Running"
"40","32","35","Josh Wise","Ford","4","4","0","137","0","Accident"
"41","13","14","Tony Stewart","Chevrolet","3","3","0","118","0","Running"
"42","3","29","Kevin Harvick","Chevrolet","2","2","0","47","0","Accident"
"43","27","87","Joe Nemechek","Toyota","1","1","0","42","0","Engine"